title,date,year,description,subject,id,refID
"November 1st, 1898",1898-11-01,1898," Athletic association, U of I (pg 5, c2) | Chemical club (pg 23, c1) | Department of Mining (pg 27, c2) | Football - Coaches (pg 14, c0) | Mandolin club (pg 8, c1) | Mix, Gainford (pg 26, c1) | Philharmonic club (pg 7, c2) | Received by community (pg 4, c2) | Study room - University of Idaho (pg 26, c2) | Tennis (pg 19, c2) | U of I President 1898-1900 (pg 26, c1) | U of I President 1898-1900 (pg 6, c0) | Voice culture (pg 8, c1) | Y.M.C.A. (pg 22, c1)","Athletic association; Chemical club; Department of Mining; Football - Coaches; Mandolin club; Mix, Gainford; Philharmonic club; Students; Study room - University of Idaho; Tennis; Blanton, Joseph Philip; Blanton, Joseph Philip; Cecillian Society; Y.M.C.A.",ARG-1898-11-01,1288
"December 1st, 1898",1898-12-01,1898," Annual encampment (pg 34, c1) | Class of 1901 (pg 36, c1) | Football game (pg 43, c1) | Statue in administration lawn (pg 39, c2) | Statue on Administration lawn (pg 39, c2)","S.A.T.C. (Student Army Training Corp.); Class of 1901; Football game; Hagberg, Ole Gabriel (1873-1898); Spanish American War (Hagberg and Draper monument)",ARG-1898-12-01,1289
"January 1st, 1899",1899-01-01,1899," Amphictyon Society (pg 71, c2) | Amphictyon Society (pg 73, c2) | Athletic managers and other personnel (pg 70, c1) | Class of 1902 (pg 65, c2) | Department of Mining (pg 89, c2) | Farmers institute (pg 60, c2) | Glee Club (pg 74, c1) | Memorial gymnasium (pg 76, c0) | Philharmonic club (pg 74, c2) | University of Idaho - History (pg 57, c1) | University of Idaho - Social reform (pg 59, c1) | University of Idaho Board of Regents (pg 67, c2) | University of Idaho Board of Regents (pg 68, c1) | Watkins Gold Medal for Oratory (pg 71, c2) | Websterians (pg 73, c2) | Websterians officers (pg 75, c2) | Y.M.C.A. (pg 74, c1)",Amphictyon Society; Athletic managers and other personnel; Class of 1902; Department of Mining; Farmers institute; Glee Club; Memorial gymnasium; Philharmonic club; University of Idaho - History; University of Idaho - Social reform; University of Idaho Board of Regents; University of Idaho Board of Regents; Watkins Gold Medal for Oratory; Websterians; Websterians officers; Y.M.C.A.,ARG-1899-01-01,1295
"February 1st, 1899",1899-02-01,1899," Amphictyon Society (pg 104, c1) | Department of Mining (pg 90, c1) | Preparatory school (pg 97, c1) | Websterians (pg 104, c1)",Amphictyon Society; Department of Mining; Preparatory school; Websterians,ARG-1899-02-01,1293
"March 1st, 1899",1899-03-01,1899," Amphictyon Society (pg 122, c1) | Amphictyon Society (pg 122, c2) | Athletic association, U of I (pg 123, c2) | Baseball (pg 125, c2) | Department of Mining (pg 127, c1) | Oratorical Association (pg 124, c1) | Sex ratio (pg 123, c1) | Testing machine (pg 120, c1) | U of I President 1898-1900 (pg 123, c1) | U of I President 1898-1900 (pg 123, c2) | U of I President 1898-1900 (pg 124, c1) | Websterians (pg 125, c1) | Websterians (pg 127, c1) | Websterians officers (pg 121, c0) | Y.W.C.A. (pg 120, c1)","Amphictyon Society; Athletic association; Baseball; Department of Mining; Oratorical Association; Sex ratio; Civil Engineering Department; Blanton, Joseph Philip; Websterians; Websterians officers; Y.W.C.A.",ARG-1899-03-01,1291
"April 1st, 1899",1899-04-01,1899," Athletic managers and other personnel (pg 144, c2) | Baseball (pg 144, c2) | Class of 1901 (pg 134, c2) | Faculty, Department of Agriculture, U of I. Death of his wife (pg 130, c1) | Faculty, U of I professor of English (pg 131, c1) | Faculty, U of I professor of English (pg 150, c2) | Voice culture (pg 145, c1) | Voice culture (pg 150, c2) | Watkins Gold Medal for Oratory (pg 150, c1) | Y.M.C.A. (pg 142, c1) | Y.W.C.A. (pg 143, c1)","Athletic managers and other personnel; Baseball; Class of 1901; French, H.T.; Cushman, Harriett E.; Cecillian Society; Watkins Gold Medal for Oratory; Y.M.C.A.; Y.W.C.A.",ARG-1899-04-01,1290
"June 1st, 1899",1899-06-01,1899," Alumni Association (pg 169, c1) | Class Day (pg 181, c2) | Class of 1899 (pg 162, c0) | Class of 1899 (pg 170, c2) | Class of 1899 (pg 171, c2) | Class of 1899. Photo (pg 161, c0) | Commencement exercises (pg 179, c2) | Commencement exercises (pg 180, c2) | Elocution department - u of I (pg 180, c1) | Faculty, U of I Mechanical Arts and Math (pg 169, c1) | Faculty, U of I professor of English (pg 177, c1) | Forney, Rosa (pg 178, c2) | Photo (pg 161, c0) | Photo (pg 162, c0) | Photo (pg 172, c) | Photo (pg 172, c0) | Photo (pg 173, c0) | U of I President 1898-1900. Photo (pg 161, c0) | University of Idaho - History (pg 166, c2) | Voice culture (pg 179, c1) | Watkins Gold Medal for Oratory (pg 156, c1) | Websterians (pg 178, c1) | Y.M.C.A. (pg 169, c2) | Y.M.C.A. (pg 179, c2) | Y.W.C.A. (pg 169, c2)","Alumni Association; Class Day; Class of 1899; Mix, Emma Maud; Moore, Fred Cushing; Playfair, Clara May; Sweet, Ava; Commencement exercises; Elocution department; Anthony, J.J.; Cushman, Harriett E.; Forney, Rosa; Hughes, Jennie Eva; Nichols, Nora Evalyn; Wolfe, Guy Wilkie; Mix, Gainford; Anderson, Alfred; Gibson, C.W.; Hoagland, H.H.; Tilley, H.C.; Barton, Earl; David, Homer; Lancaster, Henry; Turley, L.A.; Blanton, Joseph Philip; University of Idaho - History; Cecillian Society; Watkins Gold Medal for Oratory; Websterians; Y.M.C.A.; Y.W.C.A.",ARG-1899-06-01,1292
"October 1st, 1899",1899-10-01,1899," Amphictyon Medal - Oratory (pg 17, c1) | Athletic managers and other personnel (pg 12, c1) | Avery, S. (pg 1, c3) | Baden, W.W. (pg 2, c2) | Football game (pg 13, c1) | McClure, J.V. (pg 1, c2) | Statue in administration lawn (pg 17, c1) | Statue in administration lawn (pg 4, c2) | Statue on Administration lawn (pg 17, c1) | Statue on Administration lawn (pg 4, c2) | University of Idaho - History (pg 1, c1) | Y.M.C.A. (pg 21, c2) | Y.M.C.A. (pg 22, c1) | Y.W.C.A. (pg 21, c2)","Amphictyon Medal - Oratory; Athletic managers and other personnel; Avery, S.; Baden, W.W.; Football game; McClure, J.V.; Hagberg, Ole Gabriel (1873-1898); Hagberg, Ole Gabriel (1873-1898); Spanish American War (Hagberg and Draper monument); University of Idaho - History; Y.W.C.A.",ARG-1899-10-01,1294
"November 1st, 1899",1899-11-01,1899," Faculty (pg 25, c1) | Farmers institute (pg 41, c1) | Football game (pg 35, c1) | Martin, Thomas L. (pg 28, c1) | Testing machine (pg 39, c2) | U of I President 1898-1900 (pg 38, c2) | Websterians (pg 40, c2) | Y.M.C.A. (pg 46, c1) | Y.M.C.A. (pg 82, c2) | Y.W.C.A. (pg 46, c1) | Y.W.C.A. (pg 82, c2)","Padelford, F.M.; Farmers institute; Football game; Martin, Thomas L.; Civil Engineering Department; Blanton, Joseph Philip; Websterians; Y.W.C.A.",ARG-1899-11-01,1296
"December 1st, 1899",1899-12-01,1899,,,ARG-1899-12-01,11209
