objectid,cdmid,title,date,year,description,subject,publisher,genre,type,format_original,format,language,source,rights,rightsstatement
arg-2020-10-29,11852,"The Argonaut - October 29, 2020",2020-10-29,2020,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2020-11-05,11853,"The Argonaut - November 5, 2020",2020-11-05,2020,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2020-10-15,11854,"The Argonaut - October 15, 2020",2020-10-15,2020,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2020-10-22,11855,"The Argonaut - October 22, 2020",2020-10-22,2020,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2021-01-21,11856,"The Argonaut - January 21, 2021",2021-01-21,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2021-04-15,11857,"The Argonaut - April 15, 2021",2021-04-15,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2021-02-18,11858,"The Argonaut - February 18, 2021",2021-02-18,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2021-04-29,11859,"The Argonaut - April 29, 2021",2021-04-29,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2021-04-22,11860,"The Argonaut - April 22, 2021",2021-04-22,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2020-08-27,11861,"The Argonaut - August 27, 2020",2020-08-27,2020,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2020-09-10,11862,"The Argonaut - September 10, 2020",2020-09-10,2020,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2021-02-25,11863,"The Argonaut - February 25, 2021",2021-02-25,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2021-03-25,11864,"The Argonaut - March 25, 2021",2021-03-25,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2020-10-08,11865,"The Argonaut - October 8, 2020",2020-10-08,2020,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2021-01-28,11866,"The Argonaut - January 28, 2021",2021-01-28,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2021-03-11,11867,"The Argonaut - March 11, 2021",2021-03-11,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
