title,date,headlines,file
"November 12, 1968",1968-11-12,"Page 1 (front page): University will consider “Aims, goals”; General faculty will reconvene Thursday at 4; Calendar; State Legislature arrives Thursday for C of C meeting; Dr. Gideonese lectures today in Memorial Gym; class periods shortened (photo); Chavez appointed head of drama department (photo); Dr. Richard Collins appears in piano concert tonight; Rocinante features Adams; SCEE meet; Tribune editor talks to faculty; Tasby requests black studies for curriculum; Foresters hold mixer; Sports car club meets; Troupers Tour (photo only); Page 2: The Argonaut, Rosemary’s baby --- ? (opinion); Editorial Opinion; The Odd Couple (opinion); The Darkest Side by Joe Tasby (opinion); From Under the Rock by Houghton Whithed (opinion); Duplicate bridge needs more players next Sunday; Parachute training session; Ag. Council meets; Page 3: Touring Co-Eds (photo only); Agricultural chemical course given at Boise; Russians launch ship, Zond 6, towards moon; Rings ‘n Things (engagements); Page 4: Senior Job Interviews; Page 5 (News of the World): Three are held in assassination plot; Art exhibit shows handicapped work (photo); McCarthy presses for demo reform; Think ahead to semester break (photo only); House demos warn Nixon about cuts; Page 6: KUID begins color insect show series; WRA volleyball wins matches; Chemical society travels to PFI; Violet court (photo only); New queen (photo only); Malnutrition discussed; Kaiser official talks to engineer students; Work-Study program under observation; Antique maps displayed; Science director speaks; Page 7 (Sports): Vandals stomp Spartans 35-17; Idaho tied in Big Sky with Weber and Montana; Intramural basketball leagues are formed; Intramural volleyball schedule; Vandalbabes end season 2-2. Beat Montana 28-14 Friday (photo); ASUI bowling team chosen; Page 8: Dionne Warnick performs at WSU Saturday night; Northwest Wind Quintet gives concert Sunday; Mid-term grades available; Neighborhood Children play for SUB dance (photo);","Argonaut Index, November 12, 1968 through May 22, 1969
"
"November 15, 1968",1968-11-15,"Page 1 (front page): Symphony in final rehearsals; Dionne Warnick appears at WSU; Gideonese says students today are not activists; AAUP sponsors discussion panel in SUB last night; Calendar; State legislators arrive on campus this morning; Campus hosts breakfast; Vandal rally held; KUOI officially begins FM programming on Sunday; Page 2 (opinion): Welcome legislators; Congratulations KUOI; Who’s What At the U by Bill Hall; FOcus the Darn Thing by Bruce Noll; From Under the Rock by Houghton Whithed; Page 3: Idaho-Weber lead in Big Sky stats; Harmon’s Highlights; Page 4: A new group in Angel Flight; County commissioners, clerks invited to institute; Research committee announces awards to university programs; Washington State making efforts to meet needs of black students; Air Force initiates; Navy Rifle Team outshoots rival; Forestry dean speaks on wood materials; Page 5: Hoping to final (Forestry Queen) (photo only); Nominated to run (Forestry Queen) (photo only); Seeking title (Forestry Queen) (photo only); Hall rates legislature before U of I faculty; Dean Martin speaks to Panhell; Aviation team visits campus; Idaho student given 20 year prison term; Sierra Club meets; Chapman goes to Africa (photo); Women’s hours extended; Page 6: Woodwind quintet gives special program; Opera scenes shown Thursday (photos); Phi Kappa Phi; ATO finalists; Speech shows concern; Old time movies shown; TGIF band; Faculty Trio concert presented last Sunday; Page 7 (Sports): Winter is coming by Ira Eick, sports editor (opinion); Idaho vs. Cougars in Astrodome; Car club holds autocross (photo); Married couples bowling league; Duplicate bridge to be played;","Argonaut Index, November 12, 1968 through May 22, 1969
"
"November 19, 1968",1968-11-19,"Page 1 (front page): KUOI now broadcasting FM to Moscow, Pullman; Fall concert given Sunday by Idaho Symphony Orchestra with LeRoy Bauer conducting; Opera workshop presents scenes; Flickers are tomorrow; Calendar; Samuelson, Hartung address state legislators at Chamber meeting (photo); AAUP sponsors discussion; Singers will perform (photo only); Page 2: Growth at Whose Expense? (opinion); The Student Bill of Rights, Again? (opinion); An Apology (opinion); What About the College Years?; Science Requirements (opinion); Save the rifle team! (opinion); Legislators review; Page 3: Music Review. Quintet gives fine show; Teachers’ Union begins voting; Tower may head committee; Nixon seeks peace in Middle East; Panhell scholarship; Page 4: Banff is the going thing; Social Security change; payments available; Cosmos club presents Arab World program (photo); Computer system assists students; Page 5 (Sports): Cougars down Vandals 77-3; Jim Gray drives Datsun 1600 to win in campus Autocross (photo); Intramural volleyball standings; Basketball seats on sale; Scuba lecture given; Parachute club meets; Ski club sale set; Botanist speaks; Page 6: KUOI celebrates; String quartet prepares for Washington concert; Interview symposium to be conducted; Retired head dies; CBS student drama is Idaho’s spring play; Macklin to travel to Washington; FTA members confer at Idaho; Worker burned; Opera workshop; KXLY to rebroadcast Marmes Man search;","Argonaut Index, November 12, 1968 through May 22, 1969
"
"November 22, 1968",1968-11-22,"Page 1 (front page): Student curriculum control panel discussion topic; Five news organizations join programs for power; Federal Careers Day scheduled in December; Tournament begins; Walton, Barnes featured with Symphony Orchestra (photo); Arab World talk set (photo); Museum displays antique maps; University of Idaho physicist develops theory, may lead to devices such as $50 computers (photo); Page 2 (opinion): Birth Control At Idaho; From The Right: Tell It Like It Is by Jim Claire Harris; Off-Campus Housing by Jeff Lamy; From Under The Rock by Houghton Whithed; One More Time by Carol Helmgartner; FOcus The Darn Thing by Bruce Noll; To The Editor; Page 3: Idaho chemistry professor named chairman-elect of fluorine division (photo); Senior Job Interviews; Idaho cow receives recognition; Calendar; ASUI shows films; Letters To The Editor (continued from page 2); Birth, death, featured on KUID TV December 1; Honorary taps members (photo); Page 4: Duncombe, Nichols talk of Idaho’s advantages; Macklin goes to Washington, D.C.; Library given antiques (photo); KUID (schedule); Navy Color Girl Tea set; Four U-I students attend conclave; Presentation [donation to UI] (photo only); Commissioner Gleason slated as major speaker at Boise Institute; Page 5 (Sports): Vandals rewrite record book. 58 records broken; Basketball opens next Sunday; Intramurals [scores]; Page 6: Kidnapping [actually Lambda Chi event] (photo only); Students told of city problems; Folk Fest at LDS Institute; Orchesis wants help; Alpha Phi Omega sets travel board; Student describes mining field trip; Achievement [award presentation] (photo only); Legislators review amendments; Halls will close; Agronomist studies; Navy Color Girl tea slated for candidates; TGIF sets dance tonight;","Argonaut Index, November 12, 1968 through May 22, 1969
"
"November 26, 1968",1968-11-26,Page 1 (front page): It snowed! (photos only); E-Board establishes committee; Sophomore Key policy effective January 27; Ingle is panelist; Calendar; Bill of Rights suspension proposed; Federal jobs now open to students; Survey to lower voting age made in December; Library receives newspaper; Page 2 (opinion): A Welcome Break; A Time For Positive Action; Vandalettes try outs [not opinion]; Negro plight equals rights?; Lecture improvement; Arg needs controversy; “Kids” invade library; FOcus The Darn Thing by Bruce Noll; Page 3 (Sports): Basketball begins Saturday; 1968-69 Basketball team; Intramurals [scores]; Women’s field hockey wins two; Pocket billiards; Page 4:; Orchesis (photo only); Engineers sponsor research; Vocal presentations well received in fall concert;,"Argonaut Index, November 12, 1968 through May 22, 1969
"
"December 3, 1968",1968-12-03,"Page 1 (front page): Policy to repeat courses discussed at faculty meet; Why it’s snowing (photo); $800,000 federal grant for forestry building construction approved (photo); Theologue presents Father Dan Berrigan (photo); Page 2: A Proposal (opinion); The Budget and the Governor by Chris L. Smith, Editor (opinion); Writer defends Bauer (opinion); Does Alabama read? (opinion); Frustrated? (opinion); T.H.E. Column by Marty Peterson (opinion); Harris column lauded (opinion); McLuhan movie shown; Theta Chi’s to choose Dream Girl; Panhellenic sponsors information parties; E-Board begins gripe week; Currie returns from tour; Frank Young receives appointment; Page 3 (Sports): Vandals lose opener to Cougars; Babes lose in final minute; Anderson to the Vandals; WRA volleyball wins; Page 4: Midshipman First Class Anthony P. Shepherd (photo only); Navy Ball Saturday; Two plays open in U-hut; Beauty and the Beast prepares for opening; Soil survey conference in session; Campus affairs appoint members; Foresters meet; Handbook is released; Student offices move; Engineering fund (photo only); Senior Job Interviews; Psychologist completes study; Library holiday hours;","Argonaut Index, November 12, 1968 through May 22, 1969
"
"December 6, 1968",1968-12-06,"Page 1 (front page): Chinese film for FPAC (photo); Rocinante airs C of C; Judicial Council finds Edwards ‘not guilty’; Validation stickers on sale; Student governments meet on campus this weekend; Gas prices lowered by six cents; E-Board recommends student re-evaluation of Bill of Rights; ‘Sock it to ‘Em, Santa’ is Holly Week theme; Calendar; Wind Ensemble presents concert (photo); Page 2 (opinion): A Trip That Pays; The Choice Is Yours; New Revenue Approaches by Wayne Fox; From Under The Rock by Houghton Whithed; Rich, dumb students; Who is T.H.E.?; Class officer speaks out; Orchestra refutes Nagel; FOcus The Darn Thing by Bruce Noll; Reporters Lost; A Vandal shoots the ball; Page 3: University telescope open to students (photo); SCEE conducts fund drive; Soil maps are stressed; “The Drinking American” featured on KUID; Christmas vespers held at WSU Sunday; Sprague lectures; Macklin heads national school; Children’s show has new outfits; Gault names finalists; Page 4: Tyler presents recital (photo); Artist to lecture; Greever named for committee; Gault stays open Xmas; Hoping to Win (photo only); Engineering Dean speaks; New officers told; Phi Tau to crown new Laurel Sweetheart; Lost and found; Aussie wheat acreage grows, reports Pope; Drama tryouts held for play; Page 5 (Sports): Idaho Vandals to meet Sacramento, Portland; Idaho Frosh lose second to Spartans; Intramurals [scores]; Golf Coach tells plans; Speed, defense keys for James and Frosh; Sports Shorts; Page 6: Moving from Second (photo only); Cadet of the Month Awards (photo only); E-Board approves regulation changes; Kiddies Christmas party will be Sunday; December 10 is final cut-off date; Members of Kiddies Christmas party (photo only); Protestant worship made available now on Sundays; Byers establishes new JETS chapter; Phi Beta Kappa awards given;","Argonaut Index, November 12, 1968 through May 22, 1969
"
"December 13, 1968 - date misprinted on front page as December 6",1968-12-13,Page 1 (front page): Vandaleers (photo only); Fletchers appointed to fill two faculty positions; Dr. Burlingame retires after 26 years; Technical arts holds workshop; E-Board reports discussed Tues.; Rally squad changes now being considered; Traditional Christmas Candlelight Concert presented Sunday; Chinese film tickets on sale; U.S. aliens must report address; Holly Queen to be crowned (photo); Page 2 (opinion): Class Officer Apathy; Defend the System; Past Attorney General speaks out on system; FOcus The Darn Thing by Bruce Noll; Attacks On Business by Jeff Lamy; From The Right by Jim C. Harris; …so don’t drink it; Editors Note; Page 3 (Sports): Wrestlers attack Boise State today (photo); This weekend Vandals play St. Cloud-South Dakota (photos); Basketball stats; Frosh looking for number two; Page 4: A New Queen (photo only); Music Review: Tyler’s piano recital given perceptively; Poet Karl Shapiro will appear at WSU; Tryouts today; What’s Your Opinion? (photo only); New Angel Flight Officers (photo only); Opinion Poll take survey of students;,"Argonaut Index, November 12, 1968 through May 22, 1969
"
"December 10, 1968",1968-12-10,"Page 1 (front page): Vandaleers will present Sunday concert; Negro history asked at U of I; Name changes; Oregon AP man joins initiation ceremonies; Kirtley lab changes name; Calendar; ‘Beauty and the Beast’ plays in Ad. auditorium for both children, adults (photo); Hartung speaks at conclave of student government; Idaho police warn December drivers; Idaho English prof publishes verse dedicated to FPAC; Donald Seelye named acting dean of business; Bauer selected as guest concertmaster in Chicago; Church urges federal summer employment; Chinese film benefit; Foundation gives 2430 fellowships; Page 2 (opinion): Nothing For Something; A One House Fight; The Darkest Side by Joe Tasby; The Love Song of Matty Mattel; Willm’s first letter in four months; Give A Damn by Ellen Heard; Page 3 (Sports): Vandals Get Pair of Wins, Beat Sacramento, Portland; Ski Club Shorts; Intramurals [scores]; Basketball: Smith Gets First (photo only); Wrestling: Something New (photo only); Frosh Win First; WRA Volleyball; Volleyball: Move It!!! (photo only); Page 4: Where’s Santa? (photo only); Activists are healthy element; Application received; Color girl expresses feelings on selection; Judicial decision printed in full on Edwards case; Rifle team (photo only); Music Review: Wind Ensemble gives exciting performance; Plays scheduled; SIEA meets;","Argonaut Index, November 12, 1968 through May 22, 1969
"
"December 17, 1968",1968-12-17,"Page 1 (front page): The President’s Christmas Message; Bill of Rights, Coliseum, Topic of Faculty Council; Student vehicles must be moved; Coffee hour slated for writer; Rumors of epidemic false; classes to continue; Doorways to cheer (photo only); Road reports; FPAC making progress; developers look to 1970 for first groundbreaking; Freshman women vote on change in hours; Page 2 (opinion): Christmas Presents; The Darker Side by Joe Tasby; From Under The Rock by Houghton Whithed; T.H.E. takes gas again; Music conflict explained; Why not Negro history?; Not Merlan again?; Writer explains UNICEF; It’s a farce; Discourage war toys; Let’s discuss apathy; Why am I blue?; Page 3: Food Price Survey (opinion); A good cause (opinion); WSU Juniors will live off campus next year; Two Idaho professors awarded fellowships; Page 4: ROTC Group Wins (photo only); Quartet will play at WSU tonight; New Officer (photo only); KUID to increase color programs; Candlelight concert well received: musical performance reviewed; Pre-Orchestra taps; Hot atom chem. Studied; Library receives Mormon books; Page 5 (Sports): Freshmen drop pair (photo); “A” basketball [scores]; Handball [scores]; Idaho Cagers Sweep Doubleheader; Flickers are tomorrow; Basketball Can Be Fun? (opinion); Page 6: Radio-TV to build new center in April; Painting display shown; Grad student recipient of study fellowship; New Holly Week queen crowned on Saturday; Marmes site will be featured on hour-long television program; Audio-visual services increasing to schools; Church speaks on gun control bill; Dr. Moberly conducts hearing on arbitration;","Argonaut Index, November 12, 1968 through May 22, 1969
"
